Sr.No.,Unnamed: 1,Technical name as per the Schema in Excel,Attribute name as per the JSON,for excel headers,for Upload file headers,Txn_Headers,Failed Txn,Failed_txn_for_excel,Pass Txn,Pass Txn Group By Columns,Pass_txn_for_excel,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,(Published in GSTN Portal),(ListName.ObjectName.AttributeName),,,,,,,,,Data Type,Data Format,Sample Data,Is Mandatory or Optional
1,1.0,Version,Version,"'Version',",Version,"'Version',","'1|Version|Version',Version,","Version,","'1|Version|Version',Version,","Version,","Version,",String(10),,1.01,Mandatory
1.1,2.0,IRN,Irn,"'IRN',",IRN,"'Irn',","'2|Irn|IRN',Irn,","Irn,","'2|Irn|IRN',Irn,","Irn,","Irn,",,,,Optional
1.2,3.0,Supply_Type_Code,TranDtls.SupTyp,"'Supply_Type_Code',",Supply_Type_Code,"'TranDtlsSupTyp',","'3|TranDtlsSupTyp|Supply_Type_Code',TranDtlsSupTyp,","TranDtlsSupTyp,","'3|TranDtlsSupTyp|Supply_Type_Code',TranDtlsSupTyp,","TranDtlsSupTyp,","TranDtlsSupTyp,",String(10),"B2B  ,SEZWP , SEZWOP, EXP
WP , EXPWOP , DEXP 

","B2B

",Mandatory
1.3,4.0,Document_Type_Code,DocDtls.Typ,"'Document_Type_Code',",Document_Type_Code,"'DocDtlsTyp',","'4|DocDtlsTyp|Document_Type_Code',DocDtlsTyp,","DocDtlsTyp,","'4|DocDtlsTyp|Document_Type_Code',DocDtlsTyp,","DocDtlsTyp,","DocDtlsTyp,",String(11),"INV-Invoice ,CRN-Credit Note, DBN-Debit Note",INV,Mandatory
1.4,5.0,Document_Num,DocDtls.No,"'Document_Num',",Document_Num,"'DocDtlsNo',","'5|DocDtlsNo|Document_Num',DocDtlsNo,","DocDtlsNo,","'5|DocDtlsNo|Document_Num',DocDtlsNo,","DocDtlsNo,","DocDtlsNo,",String (16),"Alphanumeric, / , - ", 455/1,Mandatory
1.5,6.0,Document_Date,DocDtls.Dt,"'Document_Date',",Document_Date,"'DocDtlsDt',","'6|DocDtlsDt|Document_Date',DocDtlsDt,","DocDtlsDt,","'6|DocDtlsDt|Document_Date',DocDtlsDt,","DocDtlsDt,","DocDtlsDt,",String (10),DD/MM/YYYY,  21/11/2019,Mandatory
1.6,7.0,Additional_Currency_Code,ExpDtls.ForCur,"'Additional_Currency_Code',",Additional_Currency_Code,"'ExpDtlsForCur',","'7|ExpDtlsForCur|Additional_Currency_Code',ExpDtlsForCur,","ExpDtlsForCur,","'7|ExpDtlsForCur|Additional_Currency_Code',ExpDtlsForCur,","ExpDtlsForCur,","ExpDtlsForCur,",String (16) ,(Refer Currency Master),USD,Optional
1.7,8.0,Reverse_Charge,TranDtls.RegRev,"'Reverse_Charge',",Reverse_Charge,"'TranDtlsRegRev',","'8|TranDtlsRegRev|Reverse_Charge',TranDtlsRegRev,","TranDtlsRegRev,","'8|TranDtlsRegRev|Reverse_Charge',TranDtlsRegRev,","TranDtlsRegRev,","TranDtlsRegRev,",Character,Y-Yes / N -No,Y,Optional
1.8,9.0,IGST_on_IntraState_Supply,TranDtls.IgstOnIntra,"'IGST_on_IntraState_Supply',",IGST_on_IntraState_Supply,"'TranDtlsIgstOnIntra',","'9|TranDtlsIgstOnIntra|IGST_on_IntraState_Supply',TranDtlsIgstOnIntra,","TranDtlsIgstOnIntra,","'9|TranDtlsIgstOnIntra|IGST_on_IntraState_Supply',TranDtlsIgstOnIntra,","TranDtlsIgstOnIntra,","TranDtlsIgstOnIntra,",String(1),Y-Yes / N -No,,Optional
2.1,10.0,Document_Period_Start _Date,RefDtls.DocPerdDtls.InvStDt,"'Document_Period_Start _Date',",Document_Period_Start _Date,"'RefDtlsDocPerdDtlsInvStDt',","'10|RefDtlsDocPerdDtlsInvStDt|Document_Period_Start_Date',RefDtlsDocPerdDtlsInvStDt,","RefDtlsDocPerdDtlsInvStDt,","'10|RefDtlsDocPerdDtlsInvStDt|Document_Period_Start_Date',RefDtlsDocPerdDtlsInvStDt,","RefDtlsDocPerdDtlsInvStDt,","RefDtlsDocPerdDtlsInvStDt,",String (10),DD/MM/YYYY,  21/11/2019,Mandatory
2.2,11.0,Document_Period_End_ Date,RefDtls.DocPerdDtls.InvEndDt,"'Document_Period_End_ Date',",Document_Period_End_ Date,"'RefDtlsDocPerdDtlsInvEndDt',","'11|RefDtlsDocPerdDtlsInvEndDt|Document_Period_End_Date',RefDtlsDocPerdDtlsInvEndDt,","RefDtlsDocPerdDtlsInvEndDt,","'11|RefDtlsDocPerdDtlsInvEndDt|Document_Period_End_Date',RefDtlsDocPerdDtlsInvEndDt,","RefDtlsDocPerdDtlsInvEndDt,","RefDtlsDocPerdDtlsInvEndDt,",String(10),DD/MM/YYYY,  21/11/2019,Mandatory
3.1.1,12.0,Preceding_Document_ Number,RefDtls.PrecDocDtls.InvNo,"'Preceding_Document_ Number',",Preceding_Document_ Number,"'RefDtlsPrecDocDtlsInvNo',","'12|RefDtlsPrecDocDtlsInvNo|Preceding_Document_Number',RefDtlsPrecDocDtlsInvNo,","RefDtlsPrecDocDtlsInvNo,","'12|RefDtlsPrecDocDtlsInvNo|Preceding_Document_Number',MAX(RefDtlsPrecDocDtlsInvNo),",,"MAX(RefDtlsPrecDocDtlsInvNo),",String(16),"""Pattern"" : ^[1-9A-Za-z]{1}[0-9A-Za-z/-]{3,15}$
""minLength"": 3,
""maxLength"": 16",YGlSB2I7p,Mandatory
3.1.2,13.0,Preceding_Document_ Date,RefDtls.PrecDocDtls.InvDt,"'Preceding_Document_ Date',",Preceding_Document_ Date,"'RefDtlsPrecDocDtlsInvDt',","'13|RefDtlsPrecDocDtlsInvDt|Preceding_Document_Date',RefDtlsPrecDocDtlsInvDt,","RefDtlsPrecDocDtlsInvDt,","'13|RefDtlsPrecDocDtlsInvDt|Preceding_Document_Date',MAX(RefDtlsPrecDocDtlsInvDt),",,"MAX(RefDtlsPrecDocDtlsInvDt),",String(10),DD/MM/YYYY,  21/11/2019,Mandatory
3.1.3,14.0,Other_ Reference,RefDtls.PrecDocDtls.OthRefNo,"'Other_ Reference',",Other_ Reference,"'RefDtlsPrecDocDtlsOthRefNo',","'14|RefDtlsPrecDocDtlsOthRefNo|Other_Reference',RefDtlsPrecDocDtlsOthRefNo,","RefDtlsPrecDocDtlsOthRefNo,","'14|RefDtlsPrecDocDtlsOthRefNo|Other_Reference',MAX(RefDtlsPrecDocDtlsOthRefNo),",,"MAX(RefDtlsPrecDocDtlsOthRefNo),",String(20),"minLength: 3,maxLength: 20",,Optional
3.2.1,15.0,Receipt_Advice_Reference,RefDtls.ContrDtls.RecAdvRefr,"'Receipt_Advice_Reference',",Receipt_Advice_Reference,"'RefDtlsContrDtlsRecAdvRefr',","'15|RefDtlsContrDtlsRecAdvRefr|Receipt_Advice_Reference',RefDtlsContrDtlsRecAdvRefr,","RefDtlsContrDtlsRecAdvRefr,","'15|RefDtlsContrDtlsRecAdvRefr|Receipt_Advice_Reference',MAX(RefDtlsContrDtlsRecAdvRefr),",,"MAX(RefDtlsContrDtlsRecAdvRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
3.2.2,16.0,Receipt_Advice _Date,RefDtls.ContrDtls.RecAdvDt,"'Receipt_Advice _Date',",Receipt_Advice _Date,"'RefDtlsContrDtlsRecAdvDt',","'16|RefDtlsContrDtlsRecAdvDt|Receipt_Advice_Date',RefDtlsContrDtlsRecAdvDt,","RefDtlsContrDtlsRecAdvDt,","'16|RefDtlsContrDtlsRecAdvDt|Receipt_Advice_Date',MAX(RefDtlsContrDtlsRecAdvDt),",,"MAX(RefDtlsContrDtlsRecAdvDt),",String (10),DD/MM/YYYY,  21/11/2019,
3.2.3,17.0,Tender_or_Lot_Reference,RefDtls.ContrDtls.TendRefr,"'Tender_or_Lot_Reference',",Tender_or_Lot_Reference,"'RefDtlsContrDtlsTendRefr',","'17|RefDtlsContrDtlsTendRefr|Tender_or_Lot_Reference',RefDtlsContrDtlsTendRefr,","RefDtlsContrDtlsTendRefr,","'17|RefDtlsContrDtlsTendRefr|Tender_or_Lot_Reference',MAX(RefDtlsContrDtlsTendRefr),",,"MAX(RefDtlsContrDtlsTendRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
3.2.4,18.0,Contract_Reference,RefDtls.ContrDtls.ContrRefr,"'Contract_Reference',",Contract_Reference,"'RefDtlsContrDtlsContrRefr',","'18|RefDtlsContrDtlsContrRefr|Contract_Reference',RefDtlsContrDtlsContrRefr,","RefDtlsContrDtlsContrRefr,","'18|RefDtlsContrDtlsContrRefr|Contract_Reference',MAX(RefDtlsContrDtlsContrRefr),",,"MAX(RefDtlsContrDtlsContrRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
3.2.5,19.0,External_Reference,RefDtls.ContrDtls.ExtRefr,"'External_Reference',",External_Reference,"'RefDtlsContrDtlsExtRefr',","'19|RefDtlsContrDtlsExtRefr|External_Reference',RefDtlsContrDtlsExtRefr,","RefDtlsContrDtlsExtRefr,","'19|RefDtlsContrDtlsExtRefr|External_Reference',MAX(RefDtlsContrDtlsExtRefr),",,"MAX(RefDtlsContrDtlsExtRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
3.2.6,20.0,Project_Reference,RefDtls.ContrDtls.ProjRefr,"'Project_Reference',",Project_Reference,"'RefDtlsContrDtlsProjRefr',","'20|RefDtlsContrDtlsProjRefr|Project_Reference',RefDtlsContrDtlsProjRefr,","RefDtlsContrDtlsProjRefr,","'20|RefDtlsContrDtlsProjRefr|Project_Reference',MAX(RefDtlsContrDtlsProjRefr),",,"MAX(RefDtlsContrDtlsProjRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
3.2.7,21.0,PO_Ref_Num,RefDtls.ContrDtls.PORefr,"'PO_Ref_Num',",PO_Ref_Num,"'RefDtlsContrDtlsPORefr',","'21|RefDtlsContrDtlsPORefr|PO_Ref_Num',RefDtlsContrDtlsPORefr,","RefDtlsContrDtlsPORefr,","'21|RefDtlsContrDtlsPORefr|PO_Ref_Num',MAX(RefDtlsContrDtlsPORefr),",,"MAX(RefDtlsContrDtlsPORefr),",String(16),"pattern: ""^([0-9A-Z-a-z/]){3,16}$"",""maxLength"": 16,
							""minLength"": 3",b5jfRdG,Optional
3.2.8,22.0,PO_Ref_Date,RefDtls.ContrDtls.PORefDt,"'PO_Ref_Date',",PO_Ref_Date,"'RefDtlsContrDtlsPORefDt',","'22|RefDtlsContrDtlsPORefDt|PO_Ref_Date',RefDtlsContrDtlsPORefDt,","RefDtlsContrDtlsPORefDt,","'22|RefDtlsContrDtlsPORefDt|PO_Ref_Date',MAX(RefDtlsContrDtlsPORefDt),",,"MAX(RefDtlsContrDtlsPORefDt),",String (10),DD/MM/YYYY,  21/11/2019,Optional
4.1,23.0,Supplier_Legal_Name,SellerDtls.LglNm,"'Supplier_Legal_Name',",Supplier_Legal_Name,"'SellerDtlsLglNm',","'23|SellerDtlsLglNm|Supplier_Legal_Name',SellerDtlsLglNm,","SellerDtlsLglNm,","'23|SellerDtlsLglNm|Supplier_Legal_Name',SellerDtlsLglNm,","SellerDtlsLglNm,","SellerDtlsLglNm,",String(100),"minLength: 3,""maxLength"": 100,",AISHWARYA ENTERPRISES,Mandatory
4.2,24.0,Supplier_Trade_Name,SellerDtls.TrdNm,"'Supplier_Trade_Name',",Supplier_Trade_Name,"'SellerDtlsTrdNm',","'24|SellerDtlsTrdNm|Supplier_Trade_Name',SellerDtlsTrdNm,","SellerDtlsTrdNm,","'24|SellerDtlsTrdNm|Supplier_Trade_Name',SellerDtlsTrdNm,","SellerDtlsTrdNm,","SellerDtlsTrdNm,",String(100),"minLength: 3,""maxLength"": 100,",AISHWARYA ENTERPRISES,Optional
4.3,25.0,Supplier_GSTIN,SellerDtls.Gstin,"'Supplier_GSTIN',",Supplier_GSTIN,"'SellerDtlsGstin',","'25|SellerDtlsGstin|Supplier_GSTIN',SellerDtlsGstin,","SellerDtlsGstin,","'25|SellerDtlsGstin|Supplier_GSTIN',SellerDtlsGstin,","SellerDtlsGstin,","SellerDtlsGstin,",String(15),"pattern: ""([0-9]{2}[0-9A-Z]{13})"",""minLength"": 15,_x000D_
				""maxLength"": 15,",29BZNPM9430M1KL ,Mandatory
4.4,26.0,Supplier_Address1,SellerDtls.Addr1,"'Supplier_Address1',",Supplier_Address1,"'SellerDtlsAddr1',","'26|SellerDtlsAddr1|Supplier_Address1',SellerDtlsAddr1,","SellerDtlsAddr1,","'26|SellerDtlsAddr1|Supplier_Address1',SellerDtlsAddr1,","SellerDtlsAddr1,","SellerDtlsAddr1,",String(100),"minLength: 3,""maxLength"": 100,",1ST FLOOR,Mandatory
4.5,27.0,Supplier_Address2,SellerDtls.Addr2,"'Supplier_Address2',",Supplier_Address2,"'SellerDtlsAddr2',","'27|SellerDtlsAddr2|Supplier_Address2',SellerDtlsAddr2,","SellerDtlsAddr2,","'27|SellerDtlsAddr2|Supplier_Address2',SellerDtlsAddr2,","SellerDtlsAddr2,","SellerDtlsAddr2,",String(100),"minLength: 3,""maxLength"": 100,",BANGALORE,Optional
4.6,28.0,Supplier_Place,SellerDtls.Loc,"'Supplier_Place',",Supplier_Place,"'SellerDtlsLoc',","'28|SellerDtlsLoc|Supplier_Place',SellerDtlsLoc,","SellerDtlsLoc,","'28|SellerDtlsLoc|Supplier_Place',SellerDtlsLoc,","SellerDtlsLoc,","SellerDtlsLoc,",String(50),"minLength: 3,""maxLength"": 50,",BANGALORE,Mandatory
4.7,29.0,	Supplier_State_Code,SellerDtls.Stcd,"'	Supplier_State_Code',",	Supplier_State_Code,"'SellerDtlsStcd',","'29|SellerDtlsStcd|	Supplier_State_Code',SellerDtlsStcd,","SellerDtlsStcd,","'29|SellerDtlsStcd|	Supplier_State_Code',SellerDtlsStcd,","SellerDtlsStcd,","SellerDtlsStcd,",String(50),"minLength: 3,""maxLength"": 50,",Karnataka,Mandatory
4.8,30.0,Supplier_Pincode,SellerDtls.Pin,"'Supplier_Pincode',",Supplier_Pincode,"'SellerDtlsPin',","'30|SellerDtlsPin|Supplier_Pincode',SellerDtlsPin,","SellerDtlsPin,","'30|SellerDtlsPin|Supplier_Pincode',SellerDtlsPin,","SellerDtlsPin,","SellerDtlsPin,",Number(6),"minLength: 100000,""maxLength"": 999999,",560002,Mandatory
4.9,31.0,Supplier_Phone,SellerDtls.Ph,"'Supplier_Phone',",Supplier_Phone,"'SellerDtlsPh',","'31|SellerDtlsPh|Supplier_Phone',SellerDtlsPh,","SellerDtlsPh,","'31|SellerDtlsPh|Supplier_Phone',SellerDtlsPh,","SellerDtlsPh,","SellerDtlsPh,",String(12),"minLength: 10,""maxLength"": 12,",1234567809,Optional
4.1,32.0,Supplier_Email,SellerDtls.Em,"'Supplier_Email',",Supplier_Email,"'SellerDtlsEm',","'32|SellerDtlsEm|Supplier_Email',SellerDtlsEm,","SellerDtlsEm,","'32|SellerDtlsEm|Supplier_Email',SellerDtlsEm,","SellerDtlsEm,","SellerDtlsEm,",String (100),"minLength: 6,""maxLength"": 100,",AH@GM.COM,Optional
5.1,33.0,Buyer_Legal_Name,BuyerDtls.LglNm,"'Buyer_Legal_Name',",Buyer_Legal_Name,"'BuyerDtlsLglNm',","'33|BuyerDtlsLglNm|Buyer_Legal_Name',BuyerDtlsLglNm,","BuyerDtlsLglNm,","'33|BuyerDtlsLglNm|Buyer_Legal_Name',BuyerDtlsLglNm,","BuyerDtlsLglNm,","BuyerDtlsLglNm,",String(100),"minLength: 3,""maxLength"": 100,",AISHWARYA ENTERPRISES,Mandatory
5.2,34.0,Buyer_Trade_Name,BuyerDtls.TrdNm,"'Buyer_Trade_Name',",Buyer_Trade_Name,"'BuyerDtlsTrdNm',","'34|BuyerDtlsTrdNm|Buyer_Trade_Name',BuyerDtlsTrdNm,","BuyerDtlsTrdNm,","'34|BuyerDtlsTrdNm|Buyer_Trade_Name',BuyerDtlsTrdNm,","BuyerDtlsTrdNm,","BuyerDtlsTrdNm,",String(100),"minLength: 3,""maxLength"": 100,",AISHWARYA ENTERPRISES,Optional
5.3,35.0,Buyer_GSTIN,BuyerDtls.Gstin,"'Buyer_GSTIN',",Buyer_GSTIN,"'BuyerDtlsGstin',","'35|BuyerDtlsGstin|Buyer_GSTIN',BuyerDtlsGstin,","BuyerDtlsGstin,","'35|BuyerDtlsGstin|Buyer_GSTIN',BuyerDtlsGstin,","BuyerDtlsGstin,","BuyerDtlsGstin,",String(15),"pattern: ""^(([0-9]{2}[0-9A-Z]{13})|URP)$"",""minLength"": 3,_x000D_
				""maxLength"": 15,",29AZNPM8430M1KM,Mandatory
5.4,36.0,POS,BuyerDtls.Pos,"'POS',",POS,"'BuyerDtlsPos',","'36|BuyerDtlsPos|POS',BuyerDtlsPos,","BuyerDtlsPos,","'36|BuyerDtlsPos|POS',BuyerDtlsPos,","BuyerDtlsPos,","BuyerDtlsPos,",String(2),"minLength: 1,""maxLength"": 2,",29,Mandatory
5.5,37.0,Buyer_Address1,BuyerDtls.Addr1,"'Buyer_Address1',",Buyer_Address1,"'BuyerDtlsAddr1',","'37|BuyerDtlsAddr1|Buyer_Address1',BuyerDtlsAddr1,","BuyerDtlsAddr1,","'37|BuyerDtlsAddr1|Buyer_Address1',BuyerDtlsAddr1,","BuyerDtlsAddr1,","BuyerDtlsAddr1,",String(100),"minLength: 3,""maxLength"": 100,",1ST FLOOR,Mandatory
5.6,38.0,Buyer_Address2,BuyerDtls.Addr2,"'Buyer_Address2',",Buyer_Address2,"'BuyerDtlsAddr2',","'38|BuyerDtlsAddr2|Buyer_Address2',BuyerDtlsAddr2,","BuyerDtlsAddr2,","'38|BuyerDtlsAddr2|Buyer_Address2',BuyerDtlsAddr2,","BuyerDtlsAddr2,","BuyerDtlsAddr2,",String(100),"minLength: 3,""maxLength"": 100,",BANGALORE,Optional
5.7,39.0,Buyer_Place,BuyerDtls.Loc,"'Buyer_Place',",Buyer_Place,"'BuyerDtlsLoc',","'39|BuyerDtlsLoc|Buyer_Place',BuyerDtlsLoc,","BuyerDtlsLoc,","'39|BuyerDtlsLoc|Buyer_Place',BuyerDtlsLoc,","BuyerDtlsLoc,","BuyerDtlsLoc,",String(100),"minLength: 3,""maxLength"": 100,",M G ROAD,Mandatory
5.8,40.0,	Buyer_State_Code,BuyerDtls.Stcd,"'	Buyer_State_Code',",	Buyer_State_Code,"'BuyerDtlsStcd',","'40|BuyerDtlsStcd|	Buyer_State_Code',BuyerDtlsStcd,","BuyerDtlsStcd,","'40|BuyerDtlsStcd|	Buyer_State_Code',BuyerDtlsStcd,","BuyerDtlsStcd,","BuyerDtlsStcd,",String(50),"minLength: 3,""maxLength"": 50,",Karnataka,Optional
5.9,41.0,Buyer_Pincode,BuyerDtls.Pin,"'Buyer_Pincode',",Buyer_Pincode,"'BuyerDtlsPin',","'41|BuyerDtlsPin|Buyer_Pincode',BuyerDtlsPin,","BuyerDtlsPin,","'41|BuyerDtlsPin|Buyer_Pincode',BuyerDtlsPin,","BuyerDtlsPin,","BuyerDtlsPin,",Number(6),"minLength: 100000,""maxLength"": 999999,",560045,Optional
5.1,42.0,Country_Code_of_Export,ExpDtls.CntCode,"'Country_Code_of_Export',",Country_Code_of_Export,"'ExpDtlsCntCode',","'42|ExpDtlsCntCode|Country_Code_of_Export',ExpDtlsCntCode,","ExpDtlsCntCode,","'42|ExpDtlsCntCode|Country_Code_of_Export',ExpDtlsCntCode,","ExpDtlsCntCode,","ExpDtlsCntCode,",String(2),(Refer Country Master),FR,Optional
5.11,43.0,Buyer_Phone,BuyerDtls.Ph,"'Buyer_Phone',",Buyer_Phone,"'BuyerDtlsPh',","'43|BuyerDtlsPh|Buyer_Phone',BuyerDtlsPh,","BuyerDtlsPh,","'43|BuyerDtlsPh|Buyer_Phone',BuyerDtlsPh,","BuyerDtlsPh,","BuyerDtlsPh,",String(12),"minLength: 10,""maxLength"": 12,",1234567809,Optional
5.12,44.0,Buyer_email_ID,BuyerDtls.Em,"'Buyer_email_ID',",Buyer_email_ID,"'BuyerDtlsEm',","'44|BuyerDtlsEm|Buyer_email_ID',BuyerDtlsEm,","BuyerDtlsEm,","'44|BuyerDtlsEm|Buyer_email_ID',BuyerDtlsEm,","BuyerDtlsEm,","BuyerDtlsEm,",String (100),"minLength: 6,""maxLength"": 100,",AMHJ@GM.COM,Optional
6.1,45.0,Payee_Name,PayDtls.Nm,"'Payee_Name',",Payee_Name,"'PayDtlsNm',","'45|PayDtlsNm|Payee_Name',PayDtlsNm,","PayDtlsNm,","'45|PayDtlsNm|Payee_Name',PayDtlsNm,","PayDtlsNm,","PayDtlsNm,",String(100),"minLength: 3,""maxLength"": 100,",RAJESH,Optional
6.2,46.0,Payee_Financial_Account_Number,PayDtls.AccDet,"'Payee_Financial_Account_Number',",Payee_Financial_Account_Number,"'PayDtlsAccDet',","'46|PayDtlsAccDet|Payee_Financial_Account_Number',PayDtlsAccDet,","PayDtlsAccDet,","'46|PayDtlsAccDet|Payee_Financial_Account_Number',PayDtlsAccDet,","PayDtlsAccDet,","PayDtlsAccDet,",String(18),"minLength: 3,""maxLength"": 18,",34443434444,Optional
6.3,47.0,Mode_of_Payment,PayDtls.Mode,"'Mode_of_Payment',",Mode_of_Payment,"'PayDtlsMode',","'47|PayDtlsMode|Mode_of_Payment',PayDtlsMode,","PayDtlsMode,","'47|PayDtlsMode|Mode_of_Payment',PayDtlsMode,","PayDtlsMode,","PayDtlsMode,",String(18),"minLength: 3,""maxLength"": 18,",CASH,Optional
6.4,48.0,Financial_Institution _Branch_Code,PayDtls.FinInsBr,"'Financial_Institution _Branch_Code',",Financial_Institution _Branch_Code,"'PayDtlsFinInsBr',","'48|PayDtlsFinInsBr|Financial_Institution_Branch_Code',PayDtlsFinInsBr,","PayDtlsFinInsBr,","'48|PayDtlsFinInsBr|Financial_Institution_Branch_Code',PayDtlsFinInsBr,","PayDtlsFinInsBr,","PayDtlsFinInsBr,",String(11),"minLength: 3,""maxLength"": 11,",SBI018888,Optional
6.5,49.0,Payment_Terms,PayDtls.PayTerm,"'Payment_Terms',",Payment_Terms,"'PayDtlsPayTerm',","'49|PayDtlsPayTerm|Payment_Terms',PayDtlsPayTerm,","PayDtlsPayTerm,","'49|PayDtlsPayTerm|Payment_Terms',PayDtlsPayTerm,","PayDtlsPayTerm,","PayDtlsPayTerm,",String(100),"minLength: 3,""maxLength"": 100,",,Optional
6.6,50.0,Payment_Instruction,PayDtls.PayInstr,"'Payment_Instruction',",Payment_Instruction,"'PayDtlsPayInstr',","'50|PayDtlsPayInstr|Payment_Instruction',PayDtlsPayInstr,","PayDtlsPayInstr,","'50|PayDtlsPayInstr|Payment_Instruction',PayDtlsPayInstr,","PayDtlsPayInstr,","PayDtlsPayInstr,",String(100),"minLength: 3,""maxLength"": 100,",,Optional
6.7,51.0,Credit_Transfer_Terms,PayDtls.CrTrn,"'Credit_Transfer_Terms',",Credit_Transfer_Terms,"'PayDtlsCrTrn',","'51|PayDtlsCrTrn|Credit_Transfer_Terms',PayDtlsCrTrn,","PayDtlsCrTrn,","'51|PayDtlsCrTrn|Credit_Transfer_Terms',PayDtlsCrTrn,","PayDtlsCrTrn,","PayDtlsCrTrn,",String(100),"minLength: 3,""maxLength"": 100,",,Optional
6.8,52.0,Direct_Debit_Terms,PayDtls.DirDr,"'Direct_Debit_Terms',",Direct_Debit_Terms,"'PayDtlsDirDr',","'52|PayDtlsDirDr|Direct_Debit_Terms',PayDtlsDirDr,","PayDtlsDirDr,","'52|PayDtlsDirDr|Direct_Debit_Terms',PayDtlsDirDr,","PayDtlsDirDr,","PayDtlsDirDr,",String(100),"minLength: 3,""maxLength"": 100,",,Optional
6.9,53.0,Credit_Days,PayDtls.CrDay,"'Credit_Days',",Credit_Days,"'PayDtlsCrDay',","'53|PayDtlsCrDay|Credit_Days',PayDtlsCrDay,","PayDtlsCrDay,","'53|PayDtlsCrDay|Credit_Days',PayDtlsCrDay,","PayDtlsCrDay,","PayDtlsCrDay,",Numeric(4),"minLength: 0,""maxLength"": 9999,",999,Optional
10.1,54.0,Tax_Scheme,TranDtls.TaxSch,"'Tax_Scheme',",Tax_Scheme,"'TranDtlsTaxSch',","'54|TranDtlsTaxSch|Tax_Scheme',TranDtlsTaxSch,","TranDtlsTaxSch,","'54|TranDtlsTaxSch|Tax_Scheme',TranDtlsTaxSch,","TranDtlsTaxSch,","TranDtlsTaxSch,",String(10),,GST,Mandatory
10.2,55.0,Remarks,RefDtls.InvRm,"'Remarks',",Remarks,"'RefDtlsInvRm',","'55|RefDtlsInvRm|Remarks',RefDtlsInvRm,","RefDtlsInvRm,","'55|RefDtlsInvRm|Remarks',RefDtlsInvRm,","RefDtlsInvRm,","RefDtlsInvRm,",String (100),"pattern: ""^[0-9A-Za-z/-]{3,100}$"",""maxLength"": 100,_x000D_
				""minLength"": 3,",hPKD,Optional
10.3,56.0,Port_Code,ExpDtls.Port,"'Port_Code',",Port_Code,"'ExpDtlsPort',","'56|ExpDtlsPort|Port_Code',ExpDtlsPort,","ExpDtlsPort,","'56|ExpDtlsPort|Port_Code',ExpDtlsPort,","ExpDtlsPort,","ExpDtlsPort,",String(10),(Refer Port Master),INMAA4,Optional
10.4,57.0,Shipping_Bill_Number,ExpDtls.ShipBNo,"'Shipping_Bill_Number',",Shipping_Bill_Number,"'ExpDtlsShipBNo',","'57|ExpDtlsShipBNo|Shipping_Bill_Number',ExpDtlsShipBNo,","ExpDtlsShipBNo,","'57|ExpDtlsShipBNo|Shipping_Bill_Number',ExpDtlsShipBNo,","ExpDtlsShipBNo,","ExpDtlsShipBNo,",String(20),"minLength: 3,""maxLength"": 20,",5666,Optional
10.5,58.0,Shipping_Bill_Date,ExpDtls.ShipBDt,"'Shipping_Bill_Date',",Shipping_Bill_Date,"'ExpDtlsShipBDt',","'58|ExpDtlsShipBDt|Shipping_Bill_Date',ExpDtlsShipBDt,","ExpDtlsShipBDt,","'58|ExpDtlsShipBDt|Shipping_Bill_Date',ExpDtlsShipBDt,","ExpDtlsShipBDt,","ExpDtlsShipBDt,",String (10),DD/MM/YYYY,  21/11/2019,Optional
